CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"21,400.00",195,12.15,20.00,65,-6.90,17.15,19.80,26,20,20,
,-,-,-,-,-,-,-,-,-,-,"21,450.00",65,16.65,18.80,65,-6.55,20.20,20.03,19,18,18,
,-,-,-,-,-,-,-,-,-,-,"21,500.00",65,17.05,18.00,65,-21.60,18.50,19.35,78,31,81,
,-,-,-,-,-,-,-,-,-,-,"21,550.00",65,18.70,20.90,65,-12.50,20.35,19.32,11,11,11,
,-,-,-,-,-,-,-,-,-,-,"21,600.00",65,19.50,21.80,65,-15.05,21.25,19.11,10,10,10,
,-,-,-,-,-,-,-,-,-,-,"21,650.00",65,20.75,23.05,65,-17.75,22.30,18.92,9,9,9,
,-,-,-,-,-,-,-,-,-,-,"21,700.00",65,21.30,23.40,65,-29.70,21.30,18.38,56,11,21,
,-,-,-,-,-,-,-,-,-,-,"21,750.00",65,23.50,25.75,65,-23.15,25.40,18.65,9,9,9,
,-,-,-,-,-,-,-,-,-,-,"21,800.00",65,23.85,26.00,65,-21.85,31.50,19.10,41,37,37,
,-,-,-,-,-,-,-,-,-,-,"21,850.00",65,26.40,28.75,65,-25.80,32.65,18.86,6,6,6,
,-,-,-,-,-,-,-,-,-,-,"21,900.00",65,27.80,30.50,65,-29.05,34.95,18.74,6,6,6,
,-,-,-,-,-,-,-,-,-,-,"21,950.00",65,29.50,32.25,65,-32.80,37.15,18.60,7,7,7,
,-,-,-,-,-,-,-,-,-,-,"22,000.00",65,31.15,33.00,130,-53.00,31.45,17.53,691,356,445,
,-,-,-,-,-,-,-,-,-,-,"22,050.00",65,34.65,36.90,65,-41.65,41.50,18.26,22,11,11,
,-,-,-,-,-,-,-,-,-,-,"22,100.00",65,37.10,39.45,65,-51.10,39.35,17.62,16,9,9,
,-,-,-,-,-,-,-,-,-,-,"22,150.00",65,39.70,42.15,65,-50.90,47.35,18.01,15,9,9,
,-,-,-,-,-,-,-,-,-,-,"22,200.00",65,41.40,44.40,65,-63.20,43.40,17.21,100,61,61,
,-,-,-,-,-,-,-,-,-,-,"22,250.00",65,45.65,48.30,65,-60.50,54.95,17.84,21,11,11,
,-,-,-,-,-,-,-,-,-,-,"22,300.00",65,49.10,52.20,65,-73.75,49.50,16.93,55,7,28,
,-,-,-,-,-,-,-,-,-,-,"22,350.00",65,52.30,55.60,65,-79.70,55.15,16.99,11,10,10,
,-,-,-,-,-,-,-,-,-,-,"22,400.00",65,55.60,58.50,65,-86.45,58.95,16.86,111,60,60,
